robot_x,robot_y,robot_z
0.260782,-0.510584,0x7ffdcec47480
0.261055,-0.510446,0x7ffdcec47480
0.261055,-0.510446,0x7ffdcec47480
0.261055,-0.510446,0x7ffdcec47480
0.261192,-0.51036,0x7ffdcec47480
0.261192,-0.51036,0x7ffdcec47480
0.261192,-0.51036,0x7ffdcec47480
0.261432,-0.510182,0x7ffdcec47480
0.261432,-0.510182,0x7ffdcec47480
0.261681,-0.510039,0x7ffdcec47480
0.261681,-0.510039,0x7ffdcec47480
0.261681,-0.510039,0x7ffdcec47480
0.261925,-0.50983,0x7ffdcec47480
0.261925,-0.50983,0x7ffdcec47480
0.261925,-0.50983,0x7ffdcec47480
0.262214,-0.509632,0x7ffdcec47480
0.262214,-0.509632,0x7ffdcec47480
0.262306,-0.50949,0x7ffdcec47480
0.262306,-0.50949,0x7ffdcec47480
0.262306,-0.50949,0x7ffdcec47480
0.262525,-0.509337,0x7ffdcec47480
0.262525,-0.509337,0x7ffdcec47480
0.262525,-0.509337,0x7ffdcec47480
0.26271,-0.50905,0x7ffdcec47480
0.26271,-0.50905,0x7ffdcec47480
0.262827,-0.508967,0x7ffdcec47480
0.262932,-0.50883,0x7ffdcec47480
0.262932,-0.50883,0x7ffdcec47480
0.262932,-0.50883,0x7ffdcec47480
0.263,-0.508727,0x7ffdcec47480
0.263,-0.508727,0x7ffdcec47480
0.263,-0.508727,0x7ffdcec47480
0.263128,-0.508502,0x7ffdcec47480
0.263128,-0.508502,0x7ffdcec47480
0.263248,-0.508262,0x7ffdcec47480
0.263416,-0.507596,0x7ffdcec47480
0.263416,-0.507596,0x7ffdcec47480
0.263435,-0.5073,0x7ffdcec47480
0.263435,-0.5073,0x7ffdcec47480
0.263435,-0.5073,0x7ffdcec47480
0.26347,-0.507364,0x7ffdcec47480
0.26347,-0.507364,0x7ffdcec47480
0.26347,-0.507364,0x7ffdcec47480
0.263484,-0.507421,0x7ffdcec47480
0.263484,-0.507421,0x7ffdcec47480
0.263501,-0.507478,0x7ffdcec47480
0.263501,-0.507478,0x7ffdcec47480
0.263501,-0.507478,0x7ffdcec47480
0.263502,-0.5075,0x7ffdcec47480
0.263502,-0.5075,0x7ffdcec47480
0.263502,-0.5075,0x7ffdcec47480
0.263508,-0.507519,0x7ffdcec47480
0.263508,-0.507519,0x7ffdcec47480
0.263512,-0.507551,0x7ffdcec47480
0.263512,-0.507551,0x7ffdcec47480
0.263512,-0.507551,0x7ffdcec47480
0.263498,-0.507581,0x7ffdcec47480
0.263498,-0.507581,0x7ffdcec47480
